Amount,CBK,hour,day_of_week,card_txn_count
176.0,0,18,4,1
121.0,0,23,4,1
132.25,0,21,0,1
20.0,0,16,1,1
132.0,0,17,4,2
78.4,0,14,2,2
134.4,0,20,4,1
132.25,0,20,0,1
143.0,0,18,5,1
201.25,0,21,0,2
77.0,0,8,2,1
70.0,0,12,3,1
145.6,0,20,4,1
23.0,0,18,0,1
10.0,0,15,5,1
198.0,0,13,3,1
172.5,1,14,3,2
313.5,0,17,4,2
57.5,0,19,6,1
138.0,0,14,2,1
66.0,0,22,6,2
55.0,0,21,1,1
27.5,0,10,1,1
132.0,0,10,2,2
69.0,0,14,3,1
46.0,0,18,3,1
179.2,0,22,2,1
77.0,0,20,4,2
138.0,0,18,4,1
242.0,0,20,6,1
88.0,0,21,4,1
23.0,0,12,6,1
154.0,0,16,2,1
134.4,0,14,2,2
224.0,0,18,2,1
24.0,0,17,4,3
20.0,0,16,5,2
112.0,0,22,2,1
95.2,1,15,5,15
77.0,0,17,3,1
88.0,0,20,3,1
88.0,0,22,2,1
121.0,0,21,3,1
92.0,0,18,1,1
110.0,0,2,4,1
105.0,0,18,5,1
112.0,0,8,0,1
369.9,0,13,0,1
138.0,0,22,3,2
297.0,0,21,6,1
291.2,0,8,4,1
67.2,0,17,5,3
154.0,0,11,2,2
156.8,0,11,0,1
77.0,0,18,1,1
156.8,0,14,3,1
34.5,0,18,6,1
112.0,0,22,0,1
345.5,0,22,1,1
132.25,0,18,0,1
88.0,0,9,3,1
308.0,0,11,1,1
132.0,0,1,5,2
46.0,0,14,0,1
15.0,0,14,5,1
44.0,0,17,4,3
112.0,0,16,6,1
34.5,0,20,4,3
240.0,0,9,3,1
121.0,0,12,3,1
154.0,0,16,0,1
55.82,0,15,3,1
172.5,0,13,4,1
46.0,0,12,2,2
224.0,0,15,4,1
57.5,0,17,1,1
264.0,0,20,4,1
172.5,0,15,3,1
220.0,0,12,4,1
77.0,0,17,3,3
345.5,0,12,3,1
34.5,0,9,2,1
20.0,0,17,3,1
336.0,0,19,4,1
110.0,0,14,0,1
224.0,0,1,4,1
92.0,0,19,4,2
132.0,1,12,4,6
253.0,0,20,6,1
78.4,0,16,2,1
103.5,0,12,0,1
13.99,0,19,1,8
10.0,0,13,4,2
46.0,0,19,5,1
95.2,0,10,2,1
34.5,0,11,1,3
154.0,0,16,4,2
20.0,0,23,0,1
154.0,0,19,1,2
134.4,0,10,0,1
121.0,0,18,4,1
154.0,1,13,4,4
154.0,0,17,1,1
1660.0,0,11,0,1
246.6,0,21,4,1
168.0,0,16,5,3
44.8,0,12,0,1
154.0,0,12,4,3
143.0,0,12,6,1
168.0,0,10,2,1
44.8,0,23,2,2
154.0,0,19,3,2
34.5,0,21,3,1
88.0,0,16,4,1
89.6,0,18,0,1
336.0,0,10,4,1
67.2,0,19,2,2
132.0,1,13,4,6
99.0,1,19,4,4
143.0,0,16,2,1
13.99,1,6,2,10
172.5,0,20,4,1
62.1,0,21,2,1
55.0,0,17,1,2
630.0,0,11,0,1
23.0,0,19,4,2
46.0,0,0,4,2
172.5,0,14,3,1
46.0,0,14,4,1
46.0,0,18,0,1
88.0,0,10,4,1
132.0,0,19,4,2
264.0,0,23,1,1
33.0,0,14,4,2
80.5,0,13,0,1
10.0,0,13,4,1
77.0,0,11,4,1
46.0,0,15,4,1
46.0,0,19,3,1
67.2,0,12,3,1
1012.0,1,23,2,5
104.5,0,11,0,3
88.0,0,23,3,1
69.0,0,23,2,1
78.4,0,15,0,1
55.0,0,20,6,1
184.0,0,21,3,1
69.0,0,14,2,1
715.0,0,9,5,1
77.0,0,19,3,1
16.5,0,12,5,1
23.0,0,8,4,1
99.0,0,18,4,3
67.2,0,13,4,1
20.0,0,14,3,1
93.37,0,22,3,1
154.0,0,15,4,1
154.0,0,21,1,1
105.0,0,14,3,1
53.0,0,1,4,1
44.8,0,18,2,3
112.0,0,17,2,2
198.0,0,0,4,1
99.0,0,0,3,2
46.0,0,12,3,1
99.0,0,12,5,1
80.5,0,15,0,1
38.5,0,9,1,1
88.0,0,11,3,2
165.0,0,22,1,1
156.8,0,11,1,1
110.0,0,14,1,1
143.0,0,12,5,1
88.0,0,12,4,1
23.0,0,22,3,1
99.0,0,22,2,3
70.0,0,16,3,1
154.0,0,12,4,1
2.2,0,19,0,3
165.0,0,11,4,1
230.0,0,14,2,1
99.0,0,18,4,1
184.0,0,14,2,1
92.0,0,11,3,1
57.5,1,15,3,6
154.0,0,19,0,1
154.0,0,16,4,2
5.0,0,11,1,1
104.5,0,12,2,2
15.0,0,10,1,1
34.5,0,19,5,1
170.0,0,23,1,1
88.0,0,20,3,2
440.0,1,2,3,1
172.5,0,21,3,1
46.0,0,1,4,1
121.0,0,15,3,1
13.0,0,12,1,1
308.0,0,21,3,1
132.25,0,12,1,1
246.4,0,13,5,1
216.0,0,18,4,3
5.0,0,20,5,1
117.6,1,16,5,12
34.5,0,16,3,2
154.0,1,15,0,8
46.0,0,17,4,6
88.0,0,17,2,1
15.0,0,19,6,2
264.0,0,21,4,1
77.0,0,16,0,1
154.0,0,13,2,5
82.5,0,21,0,1
88.0,0,21,3,2
172.75,0,21,1,1
55.82,0,17,5,2
80.0,0,22,4,1
92.0,0,12,0,1
223.29,0,15,2,1
55.0,0,19,3,1
138.0,0,11,2,2
322.0,0,7,0,1
224.0,0,20,0,1
110.0,0,15,0,2
420.0,0,17,4,1
99.0,0,8,4,2
165.0,1,22,4,1
88.0,0,21,2,2
672.0,0,21,4,2
36.0,0,16,5,2
44.0,0,21,0,1
57.5,1,15,1,6
77.0,0,15,1,7
143.0,0,20,5,2
336.0,0,22,2,1
115.0,0,17,0,1
123.3,0,22,2,1
143.0,0,22,4,2
62.69,0,13,3,1
112.0,1,23,2,6
69.0,0,14,4,1
154.0,0,19,1,1
34.5,0,22,3,1
154.0,0,15,0,1
1060.0,0,19,3,1
23.0,0,20,2,3
33.0,0,13,2,1
143.0,0,17,4,1
313.6,0,15,0,1
224.0,0,12,0,1
78.4,0,15,2,1
92.0,0,14,1,1
308.0,0,15,4,1
264.0,0,15,4,1
30.0,0,12,5,2
88.0,0,19,3,2
69.0,0,23,3,1
198.0,0,1,5,1
89.6,0,19,5,2
69.0,0,14,5,1
84.0,0,13,1,1
224.0,0,13,0,1
132.0,0,10,3,3
154.0,0,21,3,1
44.0,0,23,3,1
116.72,0,15,4,1
31.05,0,11,2,2
132.0,0,17,1,1
80.5,0,15,6,1
23.0,0,20,4,1
34.5,0,19,1,1
46.0,0,19,1,1
25.0,0,12,3,1
46.0,0,15,4,3
99.0,0,18,4,1
72.0,0,14,4,1
16.5,0,18,1,1
55.82,0,15,3,1
2.1,0,11,3,2
30.0,0,15,5,1
59.99,0,0,4,2
37.8,0,13,0,1
5.0,0,21,4,1
93.15,0,12,2,1
172.5,1,15,3,2
77.0,0,8,2,1
69.0,0,23,3,1
115.5,0,13,4,1
132.0,0,22,3,2
88.0,0,7,4,1
286.0,0,16,4,1
190.4,1,23,6,10
46.0,0,19,4,1
55.0,0,19,4,2
275.0,0,18,0,1
154.0,0,10,2,1
69.0,0,12,4,1
23.35,0,9,4,1
20.0,0,19,5,1
57.5,0,22,6,1
110.0,0,16,6,1
345.0,0,13,4,1
1460.0,0,10,0,1
15.0,0,12,3,1
92.0,0,12,4,1
190.4,0,0,3,1
25.0,0,8,3,1
116.72,0,9,4,1
275.0,0,23,0,1
184.0,0,16,3,1
20.0,0,16,4,1
291.2,0,22,0,1
154.0,0,17,0,1
20.0,0,18,5,2
201.6,0,21,0,1
59.99,0,16,4,1
66.0,0,18,5,1
105.0,0,15,3,2
104.5,0,15,0,1
31.05,0,11,2,1
78.96,0,13,0,1
110.0,0,21,4,1
46.0,0,18,4,1
35.0,0,11,0,1
92.0,0,6,4,1
201.6,1,10,3,1
91.35,0,16,1,1
92.0,0,13,0,1
70.0,0,14,5,2
34.5,0,19,5,1
57.5,0,13,2,5
154.0,0,12,0,1
145.6,0,23,0,1
302.4,0,14,5,1
33.0,0,13,0,2
46.0,0,21,3,4
104.5,0,7,4,1
154.0,0,22,5,2
184.0,0,10,5,1
78.4,0,12,0,1
115.5,0,10,3,1
627.0,0,1,5,1
154.0,0,13,3,1
23.0,0,23,3,1
10.0,0,18,3,1
30.0,0,23,4,1
154.0,0,16,4,1
